input_latitude,input_longitude,ll_uuid,parcel_address,parcel_city,parcel_state,parcel_zip,county,usecode,usedesc,zoning,zoning_description,zoning_type,zoning_subtype,structstyle,numunits,numstories,yearbuilt,sqft,acres,parcel_centroid_lat,parcel_centroid_lon,home_id,fema_flood_zone,fema_zone_subtype,fema_sfha,fema_static_bfe,fema_study_type,fema_zone_desc,fema_api_status,crime_burglary_residence,crime_arson,crime_robbery,crime_burglary_other,crime_theft_motor_vehicle,crime_theft_other,crime_vandalism,crime_other_property,crime_total,crime_insurance_score,hail_events_5yr,hail_max_size_in,hail_avg_size_in,hail_severe_events,hail_extreme_events,hail_damage_total_usd,tornado_events_5yr,tornado_damage_usd,tornado_max_fscale,wind_events_5yr,wind_max_mph,wind_damage_usd,flash_flood_events_5yr,flash_flood_damage_usd,storm_risk_score
32.965182,-96.624835,d18e0626-0817-4d07-aec0-00a4c4094535,671 E MUIRFIELD RD,GARLAND,TX,75044-5033,dallas,1,SINGLE FAMILY RESIDENCES,PD/SF-10,Planned Development And Single Family 10,Planned,Planned,21,,2.0,1992.0,,,32.964946,-96.62474,1,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,21,2.25,1.32,7,4,385000.0,1,10000000.0,1,4,60.0,12000.0,5,33000.0,81.0
32.650076,-96.799558,4414d945-5669-472b-af18-9a95bb47bd11,1527 WHEATLAND RD,DALLAS,TX,75241,dallas,2,COMMERCIAL - VACANT PLOTTED LOTS/TRACTS,R-7.5(A,Single Family District 7500 Square Feet,Residential,Single Family,LAND ONLY,0.0,,,,,32.649635,-96.79955,2,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,4,2.0,1.25,1,1,150000.0,0,0.0,0,8,60.0,110000.0,1,15000.0,18.0
32.882664,-96.596344,16a3257c-1f3d-482e-b555-0a5edbc7d1df,3000 S COUNTRY CLUB RD,GARLAND,TX,75043-1308,dallas,2,COMMERCIAL IMPROVEMENTS,PD/SF-5,Planned Development And Single Family 5,Planned,Planned,FREE STANDING RETAIL STORE,0.0,1.0,1984.0,,,32.88076,-96.600434,3,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,15,2.25,1.18,3,2,200000.0,2,410000000.0,2,7,61.0,1027000.0,1,3000.0,53.5
32.871947,-96.818677,411e3f87-76c7-485b-8b7c-4d59db83a204,5252 RAVINE DR,DALLAS,TX,75220-2260,dallas,1,SINGLE FAMILY RESIDENCES,R-1AC(A,Single Family District 1 Acre,Residential,Single Family,10,,2.0,1935.0,,,32.872162,-96.818563,4,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,1,0,0,0,0,1,1.5,16,1.5,0.98,1,0,1000.0,3,72000.0,1,9,78.0,60000.0,4,160000.0,46.5
32.813743,-96.781918,9636bae5-0509-45b7-a739-558388388f4c,2500 BENNETT AVE,DALLAS,TX,75206-7171,dallas,2,MFR - APARTMENTS,PD-763,Planned Development District 763,Planned,Planned,PARKING GARAGE,0.0,6.0,2008.0,,,32.813873,-96.782284,5,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,11,23,0,220,2,0,256,233.5,13,1.75,1.06,2,0,6000.0,1,2000.0,0,8,66.0,10080000.0,9,350160000.0,45.0
32.929451,-96.612941,4786d9dd-fe90-46ed-a4fd-7a693f0a60aa,1709 DRIFTWOOD CIR,GARLAND,TX,75040-5312,dallas,1,SINGLE FAMILY RESIDENCES,SF-7,Single Family 7,Residential,Single Family,14,,1.0,1973.0,,,32.929342,-96.612928,6,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,19,2.25,1.18,4,2,215000.0,2,410000000.0,2,5,60.0,17000.0,4,3000.0,65.5
32.889077,-96.634877,7005e7ea-dbdc-4c5d-9511-215e3483d0ab,406 W RIDGEWOOD DR,GARLAND,TX,75041-3021,dallas,1,SINGLE FAMILY RESIDENCES,SF-7,Single Family 7,Residential,Single Family,12,,1.0,1959.0,,,32.889132,-96.634954,7,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,18,2.25,1.2,4,2,215000.0,2,410000000.0,2,6,60.0,17000.0,2,3000.0,61.0
32.836877,-96.85427,41f709fb-71ea-4ea3-a978-5f4d51abd318,7813 WANEBE DR,DALLAS,TX,75235-3735,dallas,1,SINGLE FAMILY RESIDENCES,TH-2(A,Townhouse District 2,Residential,Single Family,04,,1.0,1941.0,,,32.836775,-96.854281,8,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,3,0,8,0,0,11,10.9,9,1.5,0.94,1,0,1000.0,2,1550002000.0,3,5,66.0,10030000.0,5,50150000.0,41.5
32.756302,-96.846125,e5b135eb-7dd3-462d-a5af-b80ebf410671,1504 ARGONNE DR,DALLAS,TX,75208-3507,dallas,1,SINGLE FAMILY RESIDENCES,CD-13,Conservation District 13,Special,Special,10,,3.0,1933.0,,,32.756398,-96.845745,9,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,3,0,16,0,0,19,17.3,11,2.0,1.16,3,1,156000.0,0,0.0,0,5,60.0,10055000.0,7,350015000.0,41.5
32.823964,-96.69247,6fbffae8-7e8e-4fd0-9580-df455ccad60f,9545 DIXIE LN,DALLAS,TX,75228-3738,dallas,1,SINGLE FAMILY RESIDENCES,D(A,Duplex District,Residential,Two Family,15,,1.0,1953.0,,,32.824135,-96.692654,10,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,2,0,4,0,0,6,6.2,7,1.0,0.98,0,0,0.0,0,0.0,0,5,50.0,5000.0,2,20000.0,13.5
